date;total_minutes;social_minutes;productivity&finance_minutes;entertainment_minutes;creativity_minutes;travel_minutes;shopping&food_minutes;reading_minutes;games_minutes;other_minutes;notifications;pickups;exam_day;activiy;weekend
13.10.2025;469;247;105;26;10;6;1;0;0;4;null;null;0;0;0
14.10.2025;261;196;2;2;8;4;24;0;0;1;null;null;0;0;0
15.10.2025;285;163;5;5;5;24;15;0;0;4;null;null;0;1;0
16.10.2025;386;232;38;4;3;13;0;1;4;6;null;null;0;1;0
17.10.2025;432;215;92;0;12;16;0;1;0;3;null;null;0;1;0
18.10.2025;498;287;13;0;95;7;2;1;0;12;null;null;0;1;1
19.10.2025;917;291;19;2;41;17;5;0;58;2;null;null;0;1;1
20.10.2025;698;329;208;3;16;12;4;1;0;15;772;249;0;0;0
21.10.2025;680;269;222;16;6;11;5;0;0;0;778;199;0;1;0
22.10.2025;567;192;265;1;3;8;0;10;37;16;539;253;0;1;0
23.10.2025;547;206;168;7;70;10;22;7;0;13;595;219;0;0;0
24.10.2025;312;177;42;1;7;53;3;6;0;3;778;283;0;1;0
25.10.2025;375;228;45;9;8;16;21;3;0;2;627;178;0;1;1
26.10.2025;599;262;264;0;8;2;3;7;0;60;562;223;0;1;1
27.10.2025;466;235;99;21;7;9;20;0;0;20;898;276;0;0;0
28.10.2025;352;217;38;0;20;13;3;2;0;10;682;220;0;1;0
29.10.2025;343;266;4;0;2;6;7;1;0;2;428;123;0;1;0
30.10.2025;410;225;48;1;12;10;27;1;0;6;848;304;0;1;0
31.10.2025;541;237;183;0;19;19;11;1;0;2;747;285;0;0;0
1.11.2025;509;264;161;0;3;26;18;2;0;1;812;215;0;1;1
2.11.2025;603;242;266;0;4;30;2;0;0;2;619;172;0;1;1
3.11.2025;757;172;466;2;3;3;7;0;0;10;758;249;0;0;0
4.11.2025;696;184;381;2;7;30;1;0;0;1;559;243;0;0;0
5.11.2025;483;171;202;2;3;44;0;0;0;2;679;273;1;0;0
6.11.2025;524;248;123;15;25;18;12;0;0;1;781;210;0;0;0
7.11.2025;560;204;317;0;5;20;0;0;0;3;608;134;0;1;0
8.11.2025;645;275;340;0;0;7;1;25;0;24;662;187;0;1;1
9.11.2025;628;285;257;0;10;2;10;0;0;1;1164;183;0;0;1
10.11.2025;569;243;96;1;30;44;23;1;0;5;794;264;1;1;0
11.11.2025;265;153;1;1;2;1;2;0;0;2;502;180;0;1;0
12.11.2025;690;172;420;5;4;20;4;1;0;13;1029;286;0;0;0
13.11.2025;514;239;196;1;1;29;0;3;0;9;996;266;0;0;0
14.11.2025;628;269;257;0;0;48;5;0;0;4;522;147;0;1;0
15.11.2025;809;157;513;1;9;18;0;0;0;42;482;237;0;0;1
16.11.2025;375;190;103;5;2;17;0;1;0;9;355;183;1;1;1
17.11.2025;301;228;5;0;4;96;6;1;0;2;357;213;0;1;0
18.11.2025;536;181;267;0;1;53;3;0;0;5;1244;188;0;0;0
19.11.2025;778;285;339;9;2;15;3;1;0;13;1208;327;0;0;0
20.11.2025;637;176;333;0;1;43;10;0;0;3;670;267;0;0;0
21.11.2025;668;241;371;2;4;4;4;0;0;36;682;151;0;0;0
22.11.2025;701;180;431;0;0;0;0;0;1;6;714;196;0;0;1
23.11.2025;582;183;199;33;2;67;1;0;0;17;587;182;1;0;1
24.11.2025;719;190;442;10;13;1;0;4;0;50;664;240;0;0;0
25.11.2025;796;130;571;1;3;22;0;0;0;49;395;252;0;0;0
26.11.2025;464;225;69;21;13;62;55;0;0;8;677;296;1;1;0
27.11.2025;408;298;123;3;3;127;6;3;0;18;730;229;0;0;0
