date;total_minutes;social_minutes;productivity&finance_minutes;entertainment_minutes;creativity_minutes;travel_minutes;shopping&food_minutes;reading_minutes;games_minutes;other_minutes;notifications;pickups;exam_day;activiy;weekend
8.12.2025;303;263;0;15;20;3;0;0;0;2;701;230;0;0;0
9.12.2025;321;239;2;31;0;36;1;1;0;1;446;147;0;0;0
10.12.2025;349;260;4;1;0;18;6;0;0;6;547;158;1;1;0
11.12.2025;255;192;8;5;0;3;0;0;0;1;425;225;0;0;0
12.12.2025;413;370;0;0;0;19;4;0;0;3;450;162;0;0;0
13.12.2025;233;146;1;0;9;15;0;1;0;2;442;226;0;1;1
14.12.2025;249;150;7;5;5;17;0;3;0;2;350;222;0;1;1
15.12.2025;433;350;8;12;3;7;4;3;0;8;1229;237;0;0;0
16.12.2025;401;265;5;1;2;76;22;2;0;8;833;165;0;0;0
17.12.2025;389;263;11;2;3;4;7;1;0;10;674;230;0;1;0
18.12.2025;376;301;1;0;0;10;1;0;0;3;456;99;0;0;0
19.12.2025;178;125;1;1;1;3;0;2;0;3;385;134;0;0;0
20.12.2025;305;122;4;0;10;39;2;1;0;5;410;222;1;1;1
21.12.2025;312;125;26;0;5;55;3;3;0;6;330;221;0;1;1
22.12.2025;362;254;3;2;1;12;0;3;0;8;578;240;0;0;0
23.12.2025;468;273;2;2;68;24;9;2;0;73;760;155;0;1;0
24.12.2025;345;221;8;1;6;4;1;0;0;6;563;194;0;1;0
25.12.2025;320;189;8;9;24;12;0;4;0;5;583;284;0;0;0
26.12.2025;340;221;1;1;5;5;0;0;0;4;790;158;0;0;0
27.12.2025;352;256;1;0;12;27;0;1;0;7;650;198;0;1;1
28.12.2025;333;268;1;0;23;0;2;1;0;0;528;95;0;1;1
